"","iso_ref","gene_ref","isoform_id","gene_id","gene_name","condition_1","condition_2","IF1","IF2","dIF","isoform_switch_q_value","Rank"
"83","isoComp_00071751","geneComp_00024960","ENSMUST00000066391","Sfi1","Sfi1","S7","U2",0.371,0.253,-0.118,0.00119691255117391,83
"84","isoComp_00026824","geneComp_00007221","ENSMUST00000235958","Fosl1","Fosl1","S7","U2",0.064,0.174,0.109,0.00139410754364721,84
"85","isoComp_00062383","geneComp_00022675","ENSMUST00000154695","Porcn","Porcn","S7","U2",0.23,0.09,-0.14,0.00139984711924037,85
"86","isoComp_00057638","geneComp_00021630","ENSMUST00000164259","Os9","Os9","S7","U2",0.518,0.633,0.116,0.00144756398018644,86
"87","isoComp_00003038","geneComp_00001454","ENSMUST00000079594","Abca3","Abca3","S7","U2",0.291,0.393,0.101,0.00151966215456954,87
"88","isoComp_00057637","geneComp_00021630","ENSMUST00000080975","Os9","Os9","S7","U2",0.482,0.367,-0.116,0.00151966215456954,88
"89","isoComp_00040703","geneComp_00017228","ENSMUST00000151280","Hacd4","Hacd4","S7","U2",0.682,0.875,0.193,0.00165963386774918,89
"90","isoComp_00072315","geneComp_00025085","ENSMUST00000225438","Shroom3","Shroom3","S7","U2",0.244,0.129,-0.114,0.001743087473503,90
"91","isoComp_00077003","geneComp_00026206","ENSMUST00000107356","Stat5a","Stat5a","S7","U2",0.546,0.351,-0.194,0.00193226764970824,91
"92","isoComp_00064431","geneComp_00023178","ENSMUST00000075610","Pstk","Pstk","S7","U2",0.605,0.46,-0.145,0.00195758849380764,92
"93","isoComp_00014366","geneComp_00004145","ENSMUST00000153107","Cep41","Cep41","S7","U2",0.064,0.225,0.161,0.00265619780500339,93
"94","isoComp_00021659","geneComp_00005870","ENSMUST00000091672","Dusp22","Dusp22","S7","U2",0.615,0.491,-0.124,0.00293398983388215,94
"95","isoComp_00007138","geneComp_00002367","ENSMUST00000111955","Arhgap22","Arhgap22","S7","U2",0.316,0.508,0.192,0.00317841082304536,95
"96","isoComp_00075176","geneComp_00025791","ENSMUST00000174806","Snx14","Snx14","S7","U2",0.186,0.338,0.151,0.00327875508432526,96
"97","isoComp_00026725","geneComp_00007200","ENSMUST00000162409","Fnbp1l","Fnbp1l","S7","U2",0.61,0.721,0.11,0.00337938371672365,97
"98","isoComp_00087315","geneComp_00028589","ENSMUST00000160801","Wdr41","Wdr41","S7","U2",0.678,0.437,-0.241,0.00355236762093505,98
"99","isoComp_00021660","geneComp_00005870","ENSMUST00000095914","Dusp22","Dusp22","S7","U2",0.375,0.499,0.124,0.00387284324106558,99
"100","isoComp_00066196","geneComp_00023543","ENSMUST00000146601","Rasgrp2","Rasgrp2","S7","U2",0.083,0.208,0.126,0.00406616182367418,100
"101","isoComp_00087312","geneComp_00028589","ENSMUST00000056512","Wdr41","Wdr41","S7","U2",0.309,0.555,0.246,0.00411351792456551,101
"102","isoComp_00090860","geneComp_00029416","ENSMUST00000211392","Zscan18","Zscan18","S7","U2",0.558,0.828,0.269,0.0042210351694007,102
"103","isoComp_00061251","geneComp_00022445","ENSMUST00000086687","Plcxd1","Plcxd1","S7","U2",0.12,0.306,0.186,0.00422797786305156,103
"104","isoComp_00019093","geneComp_00005323","ENSMUST00000117236","Dcaf11","Dcaf11","S7","U2",0.408,0.306,-0.103,0.00429780225810583,104
"105","isoComp_00011054","geneComp_00003322","ENSMUST00000023075","C1qtnf6","C1qtnf6","S7","U2",0.856,0.745,-0.111,0.00434174321522997,105
"106","isoComp_00024895","geneComp_00006753","ENSMUST00000023069","Fam118a","Fam118a","S7","U2",0.63,0.743,0.113,0.00434454949084192,106
"107","isoComp_00019794","geneComp_00005469","ENSMUST00000166233","Denr","Denr","S7","U2",0.537,0.39,-0.147,0.00485279254570158,107
"108","isoComp_00053162","geneComp_00020302","ENSMUST00000107122","Myo7a","Myo7a","S7","U2",0.166,0.048,-0.118,0.00486656091687582,108
"109","isoComp_00069920","geneComp_00024521","ENSMUST00000135216","Rusc2","Rusc2","S7","U2",0.254,0.15,-0.103,0.00498424343944664,109
"110","isoComp_00020987","geneComp_00005718","ENSMUST00000020991","Dnmt3a","Dnmt3a","S7","U2",0.285,0.497,0.211,0.00538228245302437,110
"111","isoComp_00005082","geneComp_00001913","ENSMUST00000156578","Ak1","Ak1","S7","U2",0.234,0.113,-0.121,0.00544688663220215,111
"112","isoComp_00019795","geneComp_00005469","ENSMUST00000168899","Denr","Denr","S7","U2",0.127,0.296,0.169,0.00564045213236903,112
"113","isoComp_00054896","geneComp_00020662","ENSMUST00000037341","Nhsl1","Nhsl1","S7","U2",0.131,0.257,0.126,0.00568942215237878,113
"114","isoComp_00090279","geneComp_00029263","ENSMUST00000221303","Zfp934","Zfp934","S7","U2",0.211,0.082,-0.13,0.00568942215237878,114
"115","isoComp_00021638","geneComp_00005864","ENSMUST00000164891","Dusp14","Dusp14","S7","U2",0.243,0.093,-0.151,0.00628460935154282,115
"116","isoComp_00086319","geneComp_00028237","ENSMUST00000182815","Veph1","Veph1","S7","U2",0.307,0.144,-0.162,0.00628460935154282,116
"117","isoComp_00027936","geneComp_00007519","ENSMUST00000090511","Gcc1","Gcc1","S7","U2",0.801,0.678,-0.123,0.00720690757852311,117
"118","isoComp_00027733","geneComp_00007470","ENSMUST00000108074","Garre1","Garre1","S7","U2",0.253,0.371,0.118,0.00765199253198481,118
"119","isoComp_00026727","geneComp_00007200","ENSMUST00000197259","Fnbp1l","Fnbp1l","S7","U2",0.375,0.251,-0.124,0.00903927786734516,119
"120","isoComp_00040701","geneComp_00017228","ENSMUST00000030221","Hacd4","Hacd4","S7","U2",0.315,0.121,-0.194,0.00972342752265121,120
"121","isoComp_00066185","geneComp_00023543","ENSMUST00000113471","Rasgrp2","Rasgrp2","S7","U2",0.65,0.507,-0.143,0.0100234613530724,121
"122","isoComp_00067247","geneComp_00023755","ENSMUST00000174850","Rfx3","Rfx3","S7","U2",0.51,0.327,-0.184,0.010359445798597,122
"123","isoComp_00082118","geneComp_00027338","ENSMUST00000020695","Tns3","Tns3","S7","U2",0.546,0.656,0.109,0.0103768579591389,123
"124","isoComp_00014148","geneComp_00004109","ENSMUST00000101251","Cenpi","Cenpi","S7","U2",0.338,0.468,0.131,0.010583563752023,124
"125","isoComp_00018345","geneComp_00005073","ENSMUST00000156294","Cyb5d2","Cyb5d2","S7","U2",0.744,0.635,-0.109,0.0115246597559508,125
"126","isoComp_00041975","geneComp_00017513","ENSMUST00000134831","Hoxa3","Hoxa3","S7","U2",0.31,0.186,-0.124,0.0119555569003406,126
"127","isoComp_00041974","geneComp_00017513","ENSMUST00000114434","Hoxa3","Hoxa3","S7","U2",0.656,0.766,0.11,0.0120751657146401,127
"128","isoComp_00073266","geneComp_00025315","ENSMUST00000212211","Slc27a1","Slc27a1","S7","U2",0.152,0.024,-0.128,0.0123786618367171,128
"129","isoComp_00069736","geneComp_00024472","ENSMUST00000154837","Rsrp1","Rsrp1","S7","U2",0.144,0.04,-0.104,0.0133606044091892,129
"130","isoComp_00075174","geneComp_00025791","ENSMUST00000165315","Snx14","Snx14","S7","U2",0.755,0.593,-0.163,0.0133606044091892,130
"131","isoComp_00082110","geneComp_00027337","ENSMUST00000169627","Tns2","Tns2","S7","U2",0.223,0.328,0.105,0.0141904480400947,131
